source_repo	source_path	artifact_type	publication_classification	current_url	current_nav_location	content_type	primary_audience	secondary_audiences	product_area	owner	last_meaningful_review	generated	public_today	duplicate_group	known_accuracy_risk	known_usability_risk	build_dependencies	links_in	links_out	notes
full-chaos/dev-health-ops	docs-prototype/get-started/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/get-started/prerequisites.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/api/authentication.md	prototype-page	prototype-wip			api-reference			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/api/automation.md	prototype-page	prototype-wip			api-reference			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/api/graphql.md	prototype-page	prototype-wip			api-reference			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/api/index.md	prototype-page	prototype-wip			api-reference			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/build-an-integration/data-contracts.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/build-an-integration/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/build-an-integration/provider.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/build-an-integration/testing.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
